scorer,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000
bodyparts,Rightpaw,Rightpaw,Rightpaw,Leftpaw,Leftpaw,Leftpaw,Tailbase,Tailbase,Tailbase,Rotarodtop,Rotarodtop,Rotarodtop,Rotarodbottom,Rotarodbottom,Rotarodbottom
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
23,333.5354183912277,133.90453267097473,1.0,177.92892503738403,87.13848328590393,0.03949042409658432,196.46506786346436,94.09538435935974,1.0,439.5586111545563,119.91453170776367,1.0,201.9242639541626,242.5507493019104,1.0
24,333.56322145462036,136.799298286438,1.0,338.73093128204346,135.12212228775024,0.015192723833024502,202.17598152160645,100.28714063763618,1.0,439.3219084739685,119.96653842926025,1.0,202.1977458000183,242.65546417236328,1.0
25,332.8851793408394,138.77199363708496,1.0,339.1235685348511,138.62047958374023,0.0019893755670636892,202.37180089950562,103.4026620388031,1.0,439.9910047054291,119.96608233451843,1.0,202.6317000389099,243.06421089172363,1.0
26,333.393074631691,140.42257118225098,1.0,339.0678596496582,140.3436597287655,0.00830327533185482,200.47965478897095,106.7330846786499,1.0,439.71994256973267,119.8454704284668,1.0,202.27104997634888,243.91843032836914,1.0
27,335.88602662086487,141.40963792800903,1.0,98.54656684398651,114.91331207752228,0.0009855038952082396,200.25274991989136,110.05169296264648,1.0,439.8379292488098,120.02900123596191,1.0,202.66713631153107,243.73988103866577,1.0
28,335.2695412635803,143.66349077224731,1.0,2.4094420671463013,169.70821118354797,0.0003243566898163408,199.18121552467346,113.85564994812012,1.0,439.98187351226807,120.06477117538452,1.0,202.26553738117218,243.81785345077515,1.0
29,334.86554884910583,145.15502786636353,1.0,2.3131624460220337,220.07665821909904,0.008797340095043182,199.46893620491028,117.4250259399414,1.0,439.93752336502075,119.86101460456848,1.0,200.53577756881714,243.55276203155518,1.0
30,333.6923381090164,147.99732971191406,1.0,339.1570568084717,148.95347368717194,0.0008982816361822188,200.04437446594238,119.69315481185913,1.0,440.72865104675293,119.66297173500061,1.0,199.5855951309204,242.97668933868408,1.0
31,333.37642192840576,149.9526265859604,1.0,339.5063591003418,151.35136461257935,0.00047869113041087985,198.62099146842957,123.95408058166504,1.0,440.48779106140137,119.9831600189209,1.0,198.92469096183777,243.8020166605711,1.0
32,333.29466807842255,151.74602723121643,1.0,140.66877901554108,224.10978031158447,0.00426851399242878,197.1931390762329,128.41570949554443,1.0,440.6139211654663,120.31929397583008,1.0,199.5523133277893,243.12639278173447,1.0
